city,neighbourhood,calculated_host_listings_count
Brooklyn,Kensington,6
Manhattan,Midtown,2
Manhattan,Harlem,1
Brooklyn,Clinton Hill,1
Manhattan,East Harlem,1
Manhattan,Murray Hill,1
Brooklyn,Bedford-Stuyvesant,1
Manhattan,Hell's Kitchen,1
Manhattan,Upper West Side,1
Manhattan,Chinatown,4
Manhattan,Upper West Side,1
Manhattan,Hell's Kitchen,1
Brooklyn,South Slope,3
Manhattan,Upper West Side,1
Manhattan,West Village,1
Brooklyn,Williamsburg,1
Brooklyn,Fort Greene,1
Manhattan,Chelsea,1
Brooklyn,Crown Heights,1
Manhattan,East Harlem,2
Brooklyn,Williamsburg,1
Brooklyn,Park Slope,6
Brooklyn,Park Slope,6
Brooklyn,Park Slope,6
Brooklyn,Bedford-Stuyvesant,2
Brooklyn,Windsor Terrace,2
Manhattan,Inwood,1
Manhattan,Hell's Kitchen,1
Manhattan,Inwood,3
Manhattan,East Village,1
Manhattan,Harlem,3
Manhattan,Harlem,1
Brooklyn,Greenpoint,3
Manhattan,Harlem,3
Brooklyn,Bedford-Stuyvesant,2
Brooklyn,South Slope,3
Brooklyn,Bedford-Stuyvesant,1
Brooklyn,Bushwick,2
Brooklyn,Flatbush,1
Manhattan,Lower East Side,4
Manhattan,East Village,2
Brooklyn,South Slope,1
Brooklyn,Fort Greene,1
Manhattan,Upper West Side,1
Manhattan,Harlem,1
Brooklyn,Prospect-Lefferts Gardens,1
Queens,Long Island City,1
Brooklyn,Bedford-Stuyvesant,1
Brooklyn,Bedford-Stuyvesant,1
Brooklyn,Fort Greene,2
Brooklyn,Bedford-Stuyvesant,3
Manhattan,Upper West Side,1
Brooklyn,Williamsburg,1
Brooklyn,Greenpoint,1
Manhattan,Kips Bay,1
Brooklyn,Williamsburg,1
Manhattan,Lower East Side,1
Manhattan,Hell's Kitchen,2
Brooklyn,Greenpoint,3
Manhattan,SoHo,1
Brooklyn,Williamsburg,1
Manhattan,Chelsea,1
Manhattan,Upper East Side,2
Brooklyn,Prospect Heights,2
Brooklyn,Clinton Hill,2
Manhattan,Hell's Kitchen,1
Brooklyn,Park Slope,1
Manhattan,East Village,2
Brooklyn,Williamsburg,1
Manhattan,East Village,2
Manhattan,East Harlem,1
Manhattan,East Village,1
Manhattan,Hell's Kitchen,1
Manhattan,Washington Heights,2
Brooklyn,Clinton Hill,1
Manhattan,East Village,1
Manhattan,Upper East Side,1
Queens,Woodside,1
Brooklyn,Fort Greene,1
Manhattan,Chelsea,1
Brooklyn,Williamsburg,4
Manhattan,Harlem,1
Manhattan,Lower East Side,1
Brooklyn,Flatbush,1
Manhattan,Lower East Side,1
Brooklyn,Brooklyn Heights,1
Brooklyn,Williamsburg,1
Manhattan,East Village,1
Manhattan,East Village,1
Brooklyn,Williamsburg,4
Brooklyn,Bushwick,1
Brooklyn,Prospect Heights,1
Brooklyn,Clinton Hill,6
Brooklyn,Prospect Heights,1
Brooklyn,Williamsburg,1
Brooklyn,Bushwick,2
Manhattan,Upper West Side,1
Manhattan,Harlem,1
Manhattan,Chelsea,2
Brooklyn,Bedford-Stuyvesant,2
Manhattan,Harlem,3
Brooklyn,Carroll Gardens,3
Manhattan,Washington Heights,1
Manhattan,West Village,2
Brooklyn,Williamsburg,1
Brooklyn,Park Slope,1
Brooklyn,Bedford-Stuyvesant,2
Brooklyn,Williamsburg,1
Manhattan,Harlem,1
Brooklyn,Gowanus,1
Manhattan,Hell's Kitchen,2
Brooklyn,Clinton Hill,6
Manhattan,East Village,1
Brooklyn,South Slope,2
Manhattan,East Village,4
Manhattan,Kips Bay,1
Brooklyn,Williamsburg,1
Manhattan,Upper West Side,1
Manhattan,East Village,4
Brooklyn,South Slope,3
Manhattan,Harlem,1
Brooklyn,South Slope,2
Manhattan,Upper West Side,1
Manhattan,East Village,1
Brooklyn,Prospect-Lefferts Gardens,1
Brooklyn,Williamsburg,1
Manhattan,Upper East Side,1
Manhattan,Washington Heights,1
Brooklyn,Bedford-Stuyvesant,2
Manhattan,Harlem,3
Brooklyn,Clinton Hill,1
Manhattan,East Village,1
Brooklyn,Greenpoint,1
Manhattan,Lower East Side,1
Manhattan,Hell's Kitchen,3
Manhattan,West Village,1
Brooklyn,Flatlands,1
Brooklyn,Clinton Hill,3
Brooklyn,Bedford-Stuyvesant,2
Brooklyn,Clinton Hill,3
Brooklyn,Greenpoint,1
Brooklyn,Williamsburg,1
Brooklyn,Cobble Hill,1
Queens,Flushing,1
Brooklyn,Bedford-Stuyvesant,2
Brooklyn,Williamsburg,1
Brooklyn,Williamsburg,1
Manhattan,East Village,1
Brooklyn,Williamsburg,4
Brooklyn,Fort Greene,5
Manhattan,West Village,1
Brooklyn,Prospect Heights,1
Brooklyn,Williamsburg,1
Brooklyn,Prospect Heights,1
Manhattan,East Harlem,1
Manhattan,West Village,1
Brooklyn,Williamsburg,1
Manhattan,Upper East Side,2
Brooklyn,Boerum Hill,1
